,WeeklyRewards
0,250000000000000000000
1,250000000000000000000
2,500000000000000000000
3,500000000000000000000
4,400000000000000000000
5,400000000000000000000
6,400000000000000000000
7,400000000000000000000
8,354314952297490000000
9,330361071822450000000
10,308026621704700000000
11,287202118444000000000
12,267785480301100000000
13,249681526893200000000
14,232801512619900000000
15,217062691631600000000
16,202387912209400000000
17,188705238567700000000
18,175947598224400000000
19,164052453211800000000
20,152961493515100000000
21,142620351237000000000
22,132978334086200000000
23,123988176883400000000
24,115605809867400000000
25,107790142665600000000
26,100502862868200000000
27,93708248221218700000
28,87372991515676900000
29,81466037315912000000
30,75958429725583700000
31,70823170445894500000
32,66035086429897600000
33,61570706484191700000
34,57408146213103400000
35,53527000741354700000
36,49908244689340200000
37,46534138910694700000
38,43388143534976600000
39,40454836889204400000
40,37719839900797400000
41,35169745611345300000
42,32792053455682700000
43,30575107984104000000
44,28508041727335600000
45,26580721924188600000
46,24783700850752000000
47,23108169507638900000
48,21545914438261600000
49,20089277466457500000
50,18731118156100800000
51,17464778808676500000